Here is an example of an array of users with fake data converted into CSV format:

Employee ID,Employee Name,Date,Time In,Time Out,Hours Worked,Designation,Billable / Non-Billable
1001,John Doe,2022-01-01,08:00:00,16:00:00,8,Software Engineer,Billable
1002,Jane Smith,2022-01-01,09:00:00,17:00:00,8,Project Manager,Billable
1003,David Johnson,2022-01-01,09:30:00,18:30:00,9,Graphic Designer,Billable
1004,Sarah Davis,2022-01-01,08:30:00,16:30:00,8,Marketing Specialist,Billable
1005,Michael Wilson,2022-01-01,10:00:00,18:00:00,8,Data Analyst,Billable
1006,Emily Brown,2022-01-01,08:00:00,16:30:00,8.5,HR Manager,Billable
1007,Alexander Taylor,2022-01-01,08:30:00,17:00:00,8.5,Accountant,Non-Billable
1008,Samantha Miller,2022-01-01,09:00:00,17:30:00,8.5,Quality Assurance,Non-Billable
1009,Christopher Anderson,2022-01-01,10:00:00,18:30:00,8.5,Technical Writer,Non-Billable
1010,Olivia Martinez,2022-01-01,10:30:00,19:00:00,8.5,IT Support,Non-Billable
